Материал,Класс,Грузополучатель,reciever_lat,reciever_long
770000853293,G2106,20001633,66.0833,76.6333
770000869466,G21050102,20001633,66.0833,76.6333
770000158483,G210516,20001123,66.8811,79.4907
770000807907,G21050102,20001123,66.8811,79.4907
770000870190,G21050102,20001123,66.8811,79.4907
770000870191,G21050102,20001123,66.8811,79.4907
770000869463,G210511,20001123,66.8811,79.4907
770000129336,G210512,20001123,66.8811,79.4907
770000881205,G21050102,20001123,66.8811,79.4907
770000852540,G21050101,20001123,66.8811,79.4907
770000851235,G21050101,20001123,66.8811,79.4907
770000340149,G21050101,20001123,66.8811,79.4907
770000852503,G21050101,20001123,66.8811,79.4907
770000852529,G21050101,20001123,66.8811,79.4907
770000657936,G21050101,20001123,66.8811,79.4907
770000657977,G21050101,20001123,66.8811,79.4907
770000685394,G21050101,20001123,66.8811,79.4907
770000873417,G21050101,20001123,66.8811,79.4907
770000852555,G21050101,20001123,66.8811,79.4907
770000523703,G21050101,20001123,66.8811,79.4907
770000852520,G21050101,20001123,66.8811,79.4907
770000886500,G21050101,20001123,66.8811,79.4907
770000523705,G21050101,20001123,66.8811,79.4907
770000852524,G21050101,20001123,66.8811,79.4907
770000886503,G21050101,20001123,66.8811,79.4907
770000657987,G21050101,20001123,66.8811,79.4907
770000890859,G2106,20001123,66.8811,79.4907
770000844168,G2106,20001123,66.8811,79.4907
770000890861,G2106,20001123,66.8811,79.4907
770000890898,G2106,20001123,66.8811,79.4907
770000890867,G2106,20001123,66.8811,79.4907
770000844179,G2106,20001123,66.8811,79.4907
770000844171,G2106,20001123,66.8811,79.4907
770000890862,G2106,20001123,66.8811,79.4907
770000165652,G21050301,20001123,66.8811,79.4907
770000925545,G2109,20001123,66.8811,79.4907
770000946204,G21050102,20001123,66.8811,79.4907
770000844174,G2106,20001123,66.8811,79.4907
770000946205,G2106,20001123,66.8811,79.4907
770000794213,G2106,20001123,66.8811,79.4907
770000946202,G2106,20001123,66.8811,79.4907
770000697184,G2106,20001123,66.8811,79.4907
770000946189,G2106,20001123,66.8811,79.4907
770000946199,G2106,20001123,66.8811,79.4907
770000737390,G21050102,24446,43.3620656,132.8319624
770000933704,G21050102,24446,43.3620656,132.8319624
770000933697,G21050102,24446,43.3620656,132.8319624
770000848682,G21050102,24446,43.3620656,132.8319624
770000933700,G21050102,24446,43.3620656,132.8319624
