Материал,Класс,Поставщики
770000017509,G21050102,"['95713', '59541', '7160000059', '58691', '52095', '60519', '61448', '58857', '76120', '94293', '73082', '76925', '47772', '23288', '66005', '40661']"
770000017511,G210502,"['58691', '61448', '108667', '76925', '66005', '40661']"
770000017518,G21050102,"['58691', '61448', '50630', '66005', '40661']"
770000017530,G2110,['71644']
770000017537,G21050102,"['59541', '58691', '61448', '47772', '76925', '52095']"
770000017685,G21050102,"['104795', '51983', '61448', '58060', '22722', '94990', '47772', '104735']"
770000017686,G21050102,"['63104', '59541', '8536', '58691', '52095', '60519', '108667', '22722', '76120', '83996', '76925', '47772', '25890', '66005']"
770000017687,G21050102,"['59541', '58691', '52095', '22722', '108667', '76925', '47772', '66005']"
770000017688,G21050102,"['94401', '51983', '61448', '94990', '22722', '83996', '66005']"
770000017690,G21050102,"['76925', '58691', '66005', '108667']"
770000017712,G21050370,"['69418', '66005', '27645', '97586', '58691', '104143', '39295', '94990', '72631', '84530', '76925', '60519', '94401', '40661']"
770000017829,G21050102,"['59541', '52095', '76120', '47772', '60519', '66005']"
770000017924,G21040101,"['104734', '51983', '94990', '83996', '104735']"
770000018265,G2110,['56600']
770000018760,G21050102,"['59541', '47772', '58691', '60519']"
770000019000,G21050102,"['73073', '95156', '48324']"
770000019124,G21050102,['66005']
770000019126,G210502,"['63104', '59541', '58691', '60519', '47772', '108667', '76925', '52095', '25890', '66005', '40661']"
770000019127,G210502,"['66005', '73073', '83996', '52095', '94401']"
770000019128,G210502,['66005']
770000019396,G21050102,"['76925', '58691', '66005', '108667']"
770000019397,G21050102,"['59541', '61448', '47772', '58691']"
770000019398,G21050102,"['22722', '84530']"
770000019399,G21050102,"['59541', '58691', '52095', '61448', '47772']"
770000019400,G21050102,['59541']
770000019427,G21050102,"['63104', '47772', '60519', '66005']"
770000019533,G210502,"['59541', '73273']"
770000019541,G21050102,"['59541', '58691', '108667', '76925', '66005']"
770000019544,G21050102,"['58691', '66005', '40661']"
770000019555,G21050102,['59541']
770000019559,G21050102,"['104795', '59541', '27645', '104734', '51983', '83996', '94401', '104735']"
770000019644,G210502,"['58691', '52095', '76120', '108667', '76925', '47772', '60519', '66005', '40661']"
770000019747,G21050102,['66005']
